title,district_name,open_date,house_type,decoration,min_frame_area,max_frame_area,converged_rooms,tags,longitude,latitude,average_price
郡西云台,余杭,2020/07/01,别墅,精装修,200,337,4室:320㎡,"临近高速,成熟商圈,购物方便,三甲医院",120.025179,30.365076,56000
杭州大悦城,拱墅,2019/06/29,商业类,精装修,57,104,3室:82.34-104.34㎡,"地铁沿线,公交直达,配套齐全,成熟商圈",120.135724,30.307599,30000
中天珺府,临安,2021/04/14,住宅,毛坯,50,99,3室:99㎡,"近主干道,购物方便,娱乐丰富,三甲医院",119.823354,30.26932,23377
杭州壹号院,滨江,2020/06/01,住宅,精装修,267,267,5室:267㎡,"公交直达,近主干道,配套齐全,购物方便",120.239347,30.228625,48100
和家园臻园,西湖,2018/06/21,住宅,精装修,165,165,4室:165㎡,"公交直达,多轨交汇,配套齐全,成熟商圈",120.067017,30.240812,41700
万通中心,拱墅,2020/04/01,商业,毛坯,0,0,,"地铁沿线,配套齐全,购物方便,医疗配套",120.152953,30.314248,50000
盈都五角广场,钱塘新区,2020/10/01,商业类,精装修,38,52,1室:38-52㎡,"公交直达,成熟商圈,配套齐全,医疗配套",120.342652,30.316049,24500
汉港武林汇,拱墅,2018/07/29,商业类,精装修,45,75,"1室:51㎡,4室:75㎡","地铁沿线,公交直达,配套齐全,成熟商圈",120.121975,30.318805,35000
理想世纪金座,余杭,2018/05/06,商业类,精装修,49,72,"1室:49㎡,2室:63-72㎡","地铁沿线,多轨交汇,成熟商圈,配套齐全",120.298669,30.40734,26000
世包国际中心,江干,2018/06/01,写字楼,毛坯,0,0,,"地铁沿线,配套齐全,购物方便,医疗配套",120.21299,30.24301,43000
嘉丰万悦城,余杭,2018/01/01,底商,毛坯,0,0,,"低单价,近主干道,临近高速,成熟商圈",120.307155,30.467095,16000
茂宸金座,江干,2018/09/08,商业类,精装修,58,135,3室:135㎡,"地铁沿线,近主干道,成熟商圈,配套齐全",120.201425,30.279993,40000
天骄香槟郡,建德,2018/05/01,住宅,精装修,96,126,3室:96.84-126.21㎡,"公交直达,近主干道,配套齐全,购物方便",119.301642,29.491022,10200
云水山居,富阳,2020/09/01,别墅,毛坯,400,400,,"临近高速,购物方便,娱乐丰富,三甲医院",119.909025,30.120997,24600
临安宝龙广场,临安,2019/11/03,住宅,毛坯,89,130,,"公交直达,近主干道,配套齐全,购物方便",119.730838,30.255086,18000
山南印,上城,2019/07/01,写字楼,毛坯,0,0,,"地铁沿线,近主干道,配套齐全,购物方便",120.157806,30.210539,36000
奥体万科中心,萧山,2018/12/15,写字楼,毛坯,0,0,,"多轨交汇,成熟商圈,配套齐全,医疗配套",120.253028,30.253113,30000
运河万科中心,拱墅,2019/09/07,商业类,精装修,37,42,2室:37-42㎡,"地铁沿线,公交直达,成熟商圈,配套齐全",120.132915,30.332113,30000
星耀中心,滨江,2018/11/04,商业类,精装修,54,70,,"近主干道,成熟商圈,配套齐全,医疗配套",120.226406,30.207598,42000
前湾江上湾,萧山,2020/11/14,住宅,精装修,105,190,"3室:106㎡,4室:140-169㎡","开发区,购物方便,娱乐丰富,医疗配套",120.350432,30.239938,28500
璞玉公馆,江干,2017/11/01,底商,毛坯,0,0,,"地铁沿线,配套齐全,购物方便,医疗配套",120.288594,30.322423,55000
太合商业中心,拱墅,2019/02/01,商业,毛坯,0,0,,"公交直达,近主干道,配套齐全,购物方便",120.118882,30.308398,60000
富力湖滨悦居,淳安,2018/12/01,住宅,精装修,60,138,"2室:60㎡,3室:89㎡,4室:118-138㎡","临近高速,购物方便,美食云集,品牌房企",119.063391,29.642415,14000
汇铂金座,江干,2018/11/01,商业类,毛坯,33,65,"1室:33㎡,2室:46-65㎡","地铁沿线,多轨交汇,配套齐全,购物方便",120.249996,30.306023,35000
招商I-Park,江干,2018/10/01,底商,毛坯,0,0,,"地铁沿线,多轨交汇,配套齐全,购物方便",120.249996,30.306023,55000
宋都如意春江,富阳,2020/09/12,别墅,毛坯,128,136,4室:128-136㎡,"开发区,近主干道,成熟商圈,购物方便",120.038582,30.087785,17200
锦上桃源,拱墅,2018/10/27,商业类,精装修,34,41,2室:39-41㎡,"配套齐全,购物方便,三甲医院,医疗配套",120.1764,30.350171,33000
越秀星悦城,临安,2020/10/01,住宅,毛坯,93,125,,"公交直达,购物方便,娱乐丰富,医疗配套",119.829833,30.270883,23155
融创金成璞樾大观,临安,2020/06/13,住宅,精装修,94,128,"3室:94-98㎡,4室:126-128㎡","公交直达,近主干道,购物方便,娱乐丰富",119.733336,30.277062,19000
佳源优樾,临安,2019/05/30,住宅,毛坯,89,132,4室:124-132㎡,"公交直达,近主干道,配套齐全,购物方便",119.728132,30.227783,18500
中交财富中心,拱墅,2020/04/01,写字楼,毛坯,0,0,,"公交直达,近主干道,配套齐全,购物方便",120.129434,30.313615,23000
东部之星,钱塘新区,2018/11/17,商业类,毛坯,58,58,2室:58㎡,"近主干道,配套齐全,购物方便,医疗配套",120.359087,30.316738,18000
阳光城上林湖,富阳,2020/05/01,别墅,毛坯,140,140,3室:140㎡,"近主干道,成熟商圈,购物方便,国际医疗",119.973473,30.159807,25500
万融城,拱墅,2018/11/01,写字楼,毛坯,0,0,,"近主干道,成熟商圈,配套齐全,医疗配套",120.132818,30.340049,24000
杭房揽翠,西湖,2019/03/23,商业类,精装修,45,75,2室:58㎡,"地铁沿线,公交直达,成熟商圈,配套齐全",120.137904,30.297307,40000
天骄香槟郡,建德,2018/08/01,别墅,毛坯,168,240,"3室:168.77㎡,4室:240.88㎡","公交直达,近主干道,配套齐全,购物方便",119.301642,29.491022,17500
绿城云栖桃花源,富阳,2020/04/01,别墅,精装修,185,210,"4室:210㎡,5室:209㎡","公交直达,近主干道,购物方便,超市",119.92119,30.127552,39800
华夏之心,余杭,2020/07/25,商业类,精装修,42,70,1室:42-70㎡,"地铁沿线,多轨交汇,成熟商圈,配套齐全",120.011676,30.289268,26000
浙大网新银湖科技园,富阳,2018/06/01,写字楼,毛坯,0,0,,"多轨交汇,公交直达,购物方便,美食云集",119.989047,30.14527,13500
中天万科启宸,临安,2020/06/03,住宅,精装修,97,130,"3室:100-104㎡,4室:130㎡","配套齐全,购物方便,医疗配套,视频看房",119.715406,30.243344,21000
浙大网新银湖科技园,富阳,2019/06/02,商业类,精装修,42,42,2室:42㎡,"多轨交汇,公交直达,购物方便,美食云集",119.989047,30.14527,21000
旭辉东原国滨府,萧山,2018/12/01,商业类,毛坯,52,60,2室:52-60㎡,"地铁沿线,公交直达,配套齐全,购物方便",120.290927,30.187206,34000
恒大林溪郡,建德,2020/11/17,住宅,毛坯,118,122,"3室:118㎡,4室:118㎡","购物方便,娱乐丰富,医疗配套,品牌房企",119.300106,29.463171,12000
万科公望,富阳,2020/03/01,别墅,精装修,231,244,,"临近高速,购物方便,娱乐丰富,医疗配套",120.027944,30.08721,50200
奥克斯时代未来之城,余杭,2019/05/01,写字楼,毛坯,0,0,,"地铁沿线,公交直达,配套齐全,购物方便",120.004766,30.283014,27000
祥生云湖城,富阳,2020/09/01,住宅,精装修,93,119,"3室:93-98㎡,4室:119㎡","近主干道,临近高速,成熟商圈,购物方便",119.981695,30.16514,21400
山水时代,萧山,2018/12/13,商业类,精装修,58,218,"2室:58㎡,3室:70㎡,4室:67-78㎡,8室:134-218㎡","地铁沿线,多轨交汇,成熟商圈,配套齐全",120.254636,30.246484,47000
中豪湘和国际,江干,2019/04/20,商业类,精装修,36,98,2室:36-98㎡,"地铁沿线,公交直达,配套齐全,成熟商圈",120.227005,30.281935,31000
万科西望,临安,2020/01/01,别墅,精装修,184,184,5室:184㎡,"成熟商圈,配套齐全,医疗配套,品牌房企",119.726131,30.250196,30412
励骏花园,桐庐,2018/08/01,住宅,毛坯,210,210,4室:210.03㎡,"公交直达,近主干道,成熟商圈,配套齐全",119.70123,29.793823,19000
金茂万科新都会,富阳,2020/10/25,住宅,精装修,95,135,4室:135㎡,"近主干道,临近高速,购物方便,娱乐丰富",119.93762,30.097913,21000
春江山居,桐庐,2021/04/22,住宅,毛坯,49,89,"1室:49.81㎡,2室:88.88㎡,3室:89.76㎡","近主干道,购物方便,美食云集,视频看房",119.65218,29.770526,11000
星光荟,西湖,2021/04/01,商业类,精装修,49,52,1室:50㎡,"配套齐全,购物方便,医疗配套,视频看房",120.082264,30.165786,33000
禹洲滨澜铭座,西湖,2019/09/20,商业类,精装修,40,74,1室:40㎡,"公交直达,临近高速,购物方便,超市",120.120888,30.154475,24000
金马高悦府,桐庐,2020/07/18,住宅,精装修,85,112,"3室:89㎡,4室:112㎡","公交直达,开发区,购物方便,娱乐丰富",119.731509,29.815642,17000
富力御江山小区,建德,2021/04/17,住宅,精装修,77,127,"2室:77㎡,3室:88-104㎡,4室:127㎡","购物方便,娱乐丰富,医疗配套,品牌房企",119.27346,29.43476,7700
汇高栢悦中心,余杭,2019/12/01,写字楼,毛坯,0,0,,"多轨交汇,近主干道,成熟商圈,配套齐全",120.290197,30.44035,16000
祥生云境,西湖,2020/06/07,住宅,精装修,105,140,4室:140㎡,"多轨交汇,配套齐全,购物方便,医疗配套",120.100119,30.169671,38600
广宇东港空间,江干,2019/04/01,商业类,精装修,48,113,"2室:90㎡,4室:113㎡","地铁沿线,多轨交汇,配套齐全,购物方便",120.212559,30.307306,35000
雍澜府,余杭,2019/10/25,住宅,精装修,95,128,,"公交直达,近主干道,配套齐全,购物方便",120.191527,30.468503,20500
华策中心,西湖,2019/07/01,写字楼,毛坯,0,0,,"地铁沿线,近主干道,配套齐全,购物方便",120.075797,30.306125,25000
柳溪湾,临安,2020/04/01,住宅,毛坯,38,120,"1室:38㎡,2室:64-94㎡,3室:120㎡","低单价,近主干道,娱乐丰富,医疗配套",119.255186,30.123274,9700
联发藏珑大境,余杭,2020/10/06,别墅,毛坯,123,204,5室:153-167㎡,"地铁沿线,配套齐全,购物方便,医疗配套",120.05415,30.377172,45000
美晟府,临安,2020/05/04,住宅,毛坯,97,139,"3室:97㎡,4室:129-139㎡","近主干道,配套齐全,成熟商圈,医疗配套",119.722282,30.225874,16500
融创金成璞樾大观,临安,2020/08/01,别墅,毛坯,215,388,,"公交直达,近主干道,购物方便,娱乐丰富",119.733336,30.277062,21500
运河万科中心,拱墅,2019/08/19,写字楼,毛坯,0,0,,"地铁沿线,公交直达,成熟商圈,配套齐全",120.132915,30.332113,22000
中国中铁溪畔云璟府,富阳,2020/12/01,住宅,精装修,88,126,4室:117-126㎡,"多轨交汇,近主干道,成熟商圈,购物方便",119.943229,30.094284,21300
中城汇MIDTOWN,拱墅,2020/05/01,商业类,精装修,36,40,2室:36-40㎡,"地铁沿线,临近高速,成熟商圈,配套齐全",120.122235,30.33279,35000
贤辰府,富阳,2020/03/01,住宅,毛坯,115,131,"3室:115㎡,4室:128-131㎡","公交直达,多轨交汇,配套齐全,成熟商圈",119.732034,29.97788,12500
紫荆辰光,西湖,2019/11/25,商业类,精装修,39,57,2室:39-54㎡,"配套齐全,成熟商圈,医疗配套,视频看房",120.107237,30.275657,43000
新视界公寓,富阳,2020/07/01,住宅,精装修,95,125,"3室:95㎡,4室:125㎡","公交直达,近主干道,成熟商圈,购物方便",119.940241,30.101005,20800
奥克斯金宸玖和府,萧山,2021/01/01,住宅,精装修,139,139,4室:139㎡,"近主干道,开发区,购物方便,娱乐丰富",120.314262,30.182583,35000
绿地亚洲公园,临安,2020/09/09,别墅,毛坯,116,202,6室:202㎡,"近主干道,亲子乐园,品牌房企,科技住宅",119.788056,30.268441,21000
九天泽一国际,江干,2019/11/02,商业类,精装修,32,44,"2室:44㎡,3室:32㎡","地铁沿线,多轨交汇,配套齐全,购物方便",120.286579,30.322181,35000
世宸名府,萧山,2020/10/25,别墅,毛坯,166,166,,"近主干道,成熟商圈,配套齐全,医疗配套",120.307382,30.184205,51000
世宸名府,萧山,2019/10/01,商业类,精装修,38,38,2室:38㎡,"近主干道,成熟商圈,配套齐全,医疗配套",120.307382,30.184205,29000
四季都会,余杭,2021/02/07,住宅,精装修,89,125,,"多轨交汇,公交直达,配套齐全,购物方便",120.307689,30.451658,20800
华侨城芳菲与城,江干,2019/11/01,别墅,精装修,154,157,4室:156㎡,"公交直达,成熟商圈,配套齐全,医疗配套",120.227533,30.368315,41419
华侨城芳菲与城,江干,2021/03/01,住宅,精装修,97,137,"3室:97-109㎡,4室:130-137㎡","公交直达,配套齐全,购物方便,医疗配套",120.227533,30.368315,28600
仁恒祥生珊瑚世纪雅园,西湖,2021/03/01,住宅,精装修,105,145,,"近主干道,配套齐全,购物方便,医疗配套",120.096454,30.167703,37846
仁恒祥生珊瑚世纪雅园,西湖,2021/03/01,别墅,精装修,166,186,,"近主干道,配套齐全,购物方便,医疗配套",120.096454,30.167703,55414
融创金成杭源里,拱墅,2020/09/25,住宅,精装修,108,139,"3室:108㎡,4室:138-139㎡","近主干道,成熟商圈,配套齐全,三甲医院",120.157075,30.306947,48000
融创港印中心,萧山,2019/10/01,商业类,精装修,40,40,2室:40㎡,"临近高速,成熟商圈,购物方便,医疗配套",120.469088,30.252111,22000
融创港印中心,萧山,2019/12/01,底商,毛坯,0,0,,"近主干道,成熟商圈,购物方便,医疗配套",120.469088,30.252111,35000
龙湖紫金上城,西湖,2020/03/31,商业类,精装修,38,68,"2室:38㎡,3室:38-48㎡,4室:68㎡","地铁沿线,公交直达,配套齐全,购物方便",120.098686,30.326584,36000
杭州富力中心,余杭,2019/09/28,商业类,精装修,41,88,2室:61.66-88.48㎡,"地铁沿线,近主干道,成熟商圈,配套齐全",120.00287,30.280188,33000
杭州富力中心,余杭,2020/06/26,住宅,精装修,115,160,"3室:139㎡,4室:115-160㎡","地铁沿线,近主干道,成熟商圈,配套齐全",120.00287,30.280188,34500
地铁万科天空之城,余杭,2021/02/01,住宅,精装修,93,168,,"多轨交汇,公交直达,配套齐全,购物方便",120.044228,30.302823,39620
星光荟,西湖,2020/04/18,商业,毛坯,0,0,,"近主干道,配套齐全,购物方便,医疗配套",120.082264,30.165786,25000
恒大御泉四季,建德,2020/11/01,住宅,精装修,50,136,"1室:50-51㎡,2室:80㎡,3室:112-120㎡,4室:118㎡","近主干道,购物方便,医疗配套,品牌房企",119.227939,29.386634,8000
国宸府,萧山,2020/12/18,住宅,精装修,99,143,3室:99-119㎡,"地铁沿线,开发区,成熟商圈,配套齐全",120.290543,30.1387,25600
紫荆辰光,西湖,2019/10/01,商业,毛坯,0,0,,"近主干道,配套齐全,购物方便,医疗配套",120.107237,30.275657,79000
悦湖湾花园,淳安,2019/06/30,住宅,毛坯,136,139,4室:136-139㎡,"临近高速,成熟商圈,购物方便,三甲医院",119.155107,29.610777,14300
中建锦绣越府,余杭,2020/07/02,别墅,毛坯,160,180,"3室:160㎡,4室:160-180㎡","近主干道,成熟商圈,配套齐全,医疗配套",120.268416,30.395343,42000
高科商业中心,富阳,2019/12/01,商业类,毛坯,36,36,1室:36㎡,"公交直达,近主干道,购物方便,娱乐丰富",119.904297,30.090528,15000
融创望潮印一期（云潮府）,萧山,2019/06/01,商业类,精装修,34,46,2室:34-46㎡,"近主干道,临近高速,购物方便,美食云集",120.352012,30.235624,24500
北辰奥园,萧山,2019/05/23,底商,毛坯,0,0,,"公交直达,近主干道,购物方便,娱乐丰富",120.253097,30.13765,27000
竹悦山水轩,临安,2020/11/01,住宅,毛坯,59,89,"2室:59.5㎡,3室:78.6-89.5㎡","公交直达,临近高速,超市,银行",119.363667,30.050266,11500
首创禧瑞江南,余杭,2020/07/14,住宅,精装修,93,115,4室:115㎡,"地铁沿线,公交直达,配套齐全,成熟商圈",120.28508,30.394272,26600
钱塘ONE,西湖,2019/07/01,底商,毛坯,0,0,,"购物方便,超市,贴心物业,现房",120.125087,30.155014,43750
富春一品,建德,2019/04/28,住宅,毛坯,88,135,2室:88.33㎡,"近主干道,购物方便,娱乐丰富,医疗配套",119.545423,29.621639,10000
坤生栖悦,西湖,2019/09/07,商业类,精装修,27,48,"2室:28-48.52㎡,3室:44.91㎡","公交直达,近主干道,配套齐全,购物方便",120.093801,30.141179,29000
云安小镇,临安,2019/08/01,商业类,毛坯,52,63,"1室:52㎡,2室:63㎡","公交直达,近主干道,超市,3D楼书",119.767731,30.26541,16500
理想银泰城,余杭,2018/09/01,写字楼,毛坯,0,0,,"地铁沿线,公交直达,配套齐全,购物方便",120.309716,30.411395,21000
嘉裕天城,萧山,2020/12/01,住宅,精装修,89,138,"3室:89-113㎡,4室:116-138㎡","购物方便,娱乐丰富,医疗配套,视频看房",120.414247,30.185199,19500
信达东莱府,江干,2021/04/01,住宅,精装修,89,132,4室:132㎡,"地铁沿线,多轨交汇,配套齐全,成熟商圈",120.233961,30.305202,46500
九龙仓华发天荟,拱墅,2021/01/17,住宅,精装修,119,188,,"地铁沿线,多轨交汇,成熟商圈,配套齐全",120.123161,30.308934,54264
地铁万科杭行道,余杭,2019/09/26,商业类,毛坯,27,35,"1室:28㎡,2室:27-35㎡","公交直达,近主干道,成熟商圈,配套齐全",120.123982,30.344178,31000
环翼城,江干,2019/09/28,商业类,精装修,42,67,"2室:67㎡,3室:42㎡","地铁沿线,公交直达,配套齐全,成熟商圈",120.229122,30.299768,40000
世茂泰禾中央广场,西湖,2020/11/01,商业,毛坯,0,0,,"公交直达,近主干道,配套齐全,购物方便",120.072491,30.2984,90000
中梁云都汇·云玺,西湖,2020/05/04,商业类,精装修,34,43,"1室:34㎡,2室:40㎡","公交直达,近主干道,配套齐全,购物方便",120.096646,30.143287,29000
铂瑞悦府,江干,2019/10/01,商业类,精装修,40,55,"1室:40㎡,2室:55㎡","多轨交汇,配套齐全,购物方便,三甲医院",120.226981,30.305437,36000
绿城天语山居,临安,2020/06/06,住宅,毛坯,101,139,4室:130-139㎡,"公交直达,临近高速,配套齐全,购物方便",119.71497,30.25435,15000
中梁御府,余杭,2020/04/06,住宅,精装修,89,89,3室:89㎡,"公交直达,成熟商圈,购物方便,医疗配套",119.970924,30.23978,24900
中梁御府,余杭,2020/06/08,别墅,毛坯,147,167,5室:167㎡,"公交直达,成熟商圈,购物方便,医疗配套",119.970924,30.23978,38000
傲旋城,滨江,2019/11/01,住宅,毛坯,88,428,"1室:89.04㎡,2室:88.56-89.87㎡","公交直达,临近高速,成熟商圈,配套齐全",120.194409,30.18761,45000
云集金座,临安,2020/04/03,商业类,毛坯,34,42,"2室:42.75㎡,3室:34.24㎡","公交直达,临近高速,购物方便,美食云集",119.790954,30.322213,12000
融创森与海之城,萧山,2021/04/16,住宅,精装修,88,139,"3室:97-109㎡,4室:121㎡","公交直达,临近高速,购物方便,娱乐丰富",120.253965,29.999689,14000
印象苕溪城,临安,2020/05/30,住宅,毛坯,89,140,"3室:101㎡,4室:128-140㎡","多轨交汇,近主干道,配套齐全,成熟商圈",119.711691,30.242268,19000
金科碧桂园博翠府,拱墅,2019/08/23,住宅,精装修,122,139,"3室:122-137㎡,4室:129-139㎡","公交直达,近主干道,配套齐全,购物方便",120.147908,30.377417,30700
和家园雍园,西湖,2018/07/28,别墅,精装修,181,183,5室:181-183㎡,"近主干道,配套齐全,购物方便,医疗配套",120.069787,30.234612,55000
融创东南海,萧山,2018/03/17,商业类,精装修,50,50,2室:50㎡,"公交直达,购物方便,娱乐丰富,医疗配套",120.338821,30.20361,23000
